benchmark,level,parallel,region,parent,seconds,percent_total,percent_parent,parent_level,depth
UA,parallel,diffusion:70,diffusion:70,iteration total,0.0058543,0.8750963825397788,0.8750963825397788,total,0
UA,for,diffusion:70,diffusion:73-91 (nowait),diffusion:70,0.005397478,0.8068109718733308,92.196812599286,parallel,1
UA,parallel,diffusion:102,diffusion:102,iteration total,0.049169295,7.349789417442092,7.349789417442092,total,0
UA,for,diffusion:102,diffusion:108-126 (nowait),diffusion:102,0.041500287,6.203431841221429,84.40285141367188,parallel,1
UA,parallel,diffusion:147,diffusion:147,iteration total,0.058138371,8.69048018530919,8.69048018530919,total,0
UA,for,diffusion:147,diffusion:147,diffusion:147,0.058138371,8.69048018530919,100.0,parallel,1
UA,parallel,diffusion:161,diffusion:161,iteration total,0.000974293,0.14563658846212676,0.14563658846212676,total,0
UA,for,diffusion:161,diffusion:161,diffusion:161,0.000974293,0.14563658846212676,100.0,parallel,1
UA,parallel,diffusion:174,diffusion:174,iteration total,0.036063284,5.3907127019292975,5.3907127019292975,total,0
UA,for,diffusion:174,diffusion:178-195 (nowait),diffusion:174,0.030502007,4.559417178125995,84.57911653303675,parallel,1
UA,parallel,mortar:82,mortar:82,iteration total,5.945e-05,0.008886541506583169,0.008886541506583169,total,0
UA,for,mortar:82,mortar:82,mortar:82,5.945e-05,0.008886541506583169,100.0,parallel,1
UA,parallel,mortar:754,mortar:754,iteration total,3.865e-06,0.000577737307366593,0.000577737307366593,total,0
UA,for,mortar:754,mortar:754,mortar:754,3.865e-06,0.000577737307366593,100.0,parallel,1
UA,parallel,mortar:768,mortar:768,iteration total,0.000519054,0.07758780345093391,0.07758780345093391,total,0
UA,for,mortar:768,mortar:768,mortar:768,0.000519054,0.07758780345093391,100.0,parallel,1
UA,parallel,mortar:817,mortar:817,iteration total,5.4474e-05,0.008142732750708353,0.008142732750708353,total,0
UA,for,mortar:817,mortar:817,mortar:817,5.4474e-05,0.008142732750708353,100.0,parallel,1
UA,parallel,mortar:1362,mortar:1362,iteration total,2.136e-06,0.00031928768138034735,0.00031928768138034735,total,0
UA,for,mortar:1362,mortar:1362,mortar:1362,2.136e-06,0.00031928768138034735,100.0,parallel,1
UA,parallel,mortar:1377,mortar:1377,iteration total,0.000274057,0.04096583525096155,0.04096583525096155,total,0
UA,for,mortar:1377,mortar:1377,mortar:1377,0.000274057,0.04096583525096155,100.0,parallel,1
UA,parallel,mortar:1497,mortar:1497,iteration total,0.000128023,0.019136782225354032,0.019136782225354032,total,0
UA,for,mortar:1497,mortar:1497,mortar:1497,0.000128023,0.019136782225354032,100.0,parallel,1
UA,parallel,move:51,move:51,iteration total,0.000996275,0.1489224413704146,0.1489224413704146,total,0
UA,for,move:51,move:55,move:51,0.000525072,0.07848736958695776,52.70352061428822,parallel,1
UA,for,move:51,move:106,move:51,0.000455547,0.06809482462068028,45.72502572081001,parallel,1
UA,parallel,setuppc:62,setuppc:62,iteration total,0.00071127,0.10632010727312718,0.10632010727312718,total,0
UA,for,setuppc:62,setuppc:62,setuppc:62,0.00071127,0.10632010727312718,100.0,parallel,1
UA,parallel,setuppc:92,setuppc:92,iteration total,0.000138344,0.02067955758093763,0.02067955758093763,total,0
UA,for,setuppc:92,setuppc:92,setuppc:92,0.000138344,0.02067955758093763,100.0,parallel,1
UA,parallel,setpcmo:448,setpcmo:448,iteration total,2.2617e-05,0.0033807722330427515,0.0033807722330427515,total,0
UA,for,setpcmo:448,setpcmo:451-455 (nowait),setpcmo:448,1.017e-06,0.00015202039885946314,4.496617588539594,parallel,1
UA,for,setpcmo:448,setpcmo:458,setpcmo:448,1.4863e-05,0.002221710116271584,65.71605429544148,parallel,1
UA,parallel,setpcmo:471,setpcmo:471,iteration total,0.000181546,0.02713736020780737,0.02713736020780737,total,0
UA,for,setpcmo:471,setpcmo:471,setpcmo:471,0.000181546,0.02713736020780737,99.99999999999999,parallel,1
UA,parallel,prepwork:318,prepwork:318,iteration total,0.000374543,0.05598640732548664,0.05598640732548664,total,0
UA,for,prepwork:318,prepwork:323-336 (nowait),prepwork:318,0.000215599,0.032227577161948275,57.56321704050002,parallel,1
UA,for,prepwork:318,prepwork:340,prepwork:318,0.000121143,0.01810836497446602,32.344216818896626,parallel,1
UA,for,prepwork:318,prepwork:347-415 (nowait),prepwork:318,1.1172e-05,0.0016699821986803562,2.982835081686215,parallel,1
UA,parallel,transf:67,transf:67,iteration total,0.059956646,8.962274571480469,8.962274571480469,total,0
UA,for,transf:67,transf:67,transf:67,0.059956646,8.962274571480469,100.0,parallel,1
UA,parallel,transfb:288,transfb:288,iteration total,0.232218501,34.71184773310388,34.71184773310388,total,0
UA,for,transfb:288,transfb:293,transfb:288,0.004873427,0.7284762206022388,2.098638557657385,parallel,1
UA,for,transfb:288,transfb:300-575 (nowait),transfb:288,0.189746985,28.36323730784717,81.71053735292178,parallel,1
UA,parallel,transfb_c:852,transfb_c:852,iteration total,0.014814767,2.2145002835300023,2.2145002835300023,total,0
UA,for,transfb_c:852,transfb_c:856,transfb_c:852,0.000318467,0.04760420881374302,2.1496591880250295,parallel,1
UA,for,transfb_c:852,transfb_c:863-949 (nowait),transfb_c:852,0.012576693,1.8799546570236165,84.89295174200174,parallel,1
UA,parallel,transfb_c_2:967,transfb_c_2:967,iteration total,0.003412984,0.5101702939832508,0.5101702939832508,total,0
UA,for,transfb_c_2:967,transfb_c_2:972-976 (nowait),transfb_c_2:967,5.3736e-05,0.008032417063040425,1.574458010937057,parallel,1
UA,for,transfb_c_2:967,transfb_c_2:978,transfb_c_2:967,9.7973e-05,0.014644930715298115,2.8705965219877974,parallel,1
UA,for,transfb_c_2:967,transfb_c_2:985-1081 (nowait),transfb_c_2:967,0.002107219,0.3149855190405497,61.741250471727966,parallel,1
UA,parallel,main:354,main:354,iteration total,0.007786859,1.1639738554989187,1.1639738554989187,total,0
UA,for,main:354,main:357,main:354,0.005605985,0.8379784421830556,71.99289212762167,parallel,1
UA,for,main:354,main:365,main:354,0.002134673,0.31908932241349736,27.41378776731414,parallel,1
UA,parallel,main:387,main:387,iteration total,0.00011286,0.01687022833360768,0.01687022833360768,total,0
UA,for,main:387,main:387,main:387,0.00011286,0.01687022833360768,100.00000000000001,parallel,1
UA,parallel,reciprocal:45,reciprocal:45,iteration total,0.000358334,0.05356349813658492,0.05356349813658492,total,0
UA,for,reciprocal:45,reciprocal:45,reciprocal:45,0.000358334,0.05356349813658492,99.99999999999999,parallel,1
UA,parallel,r_init_omp:61,r_init_omp:61,iteration total,0.00108324,0.1619219044842919,0.1619219044842919,total,0
UA,for,r_init_omp:61,r_init_omp:61,r_init_omp:61,0.00108324,0.1619219044842919,100.0,parallel,1
UA,parallel,nr_init_omp:90,nr_init_omp:90,iteration total,0.000802206,0.11991315249503884,0.11991315249503884,total,0
UA,for,nr_init_omp:90,nr_init_omp:90,nr_init_omp:90,0.000802206,0.11991315249503884,100.00000000000001,parallel,1
UA,parallel,l_init_omp:119,l_init_omp:119,iteration total,0.00012254,0.01831718748892686,0.01831718748892686,total,0
UA,for,l_init_omp:119,l_init_omp:119,l_init_omp:119,0.00012254,0.01831718748892686,100.0,parallel,1
UA,parallel,adds2m1:173,adds2m1:173,iteration total,0.062930212,9.406760991691813,9.406760991691813,total,0
UA,for,adds2m1:173,adds2m1:173,adds2m1:173,0.062930212,9.406760991691813,100.0,parallel,1
UA,parallel,adds1m1:188,adds1m1:188,iteration total,0.024807282,3.7081739471575035,3.7081739471575035,total,0
UA,for,adds1m1:188,adds1m1:188,adds1m1:188,0.024807282,3.7081739471575035,100.0,parallel,1
UA,parallel,col2:204,col2:204,iteration total,0.027686922,4.1386203791847045,4.1386203791847045,total,0
UA,for,col2:204,col2:204,col2:204,0.027686922,4.1386203791847045,100.0,parallel,1
UA,parallel,add2:232,add2:232,iteration total,0.002228545,0.3331212387180554,0.3331212387180554,total,0
UA,for,add2:232,add2:232,add2:232,0.002228545,0.3331212387180554,100.0,parallel,1
UA,parallel,parallel_add:291,parallel_add:291,iteration total,0.000332436,0.049692284479099805,0.049692284479099805,total,0
UA,for,parallel_add:291,parallel_add:291,parallel_add:291,0.000332436,0.049692284479099805,100.00000000000001,parallel,1
UA,parallel,parallel_add:305,parallel_add:305,iteration total,0.000126611,0.018925717522119457,0.018925717522119457,total,0
UA,for,parallel_add:305,parallel_add:305,parallel_add:305,0.000126611,0.018925717522119457,100.0,parallel,1
